abbrv,date,name,icon
"jyhad","19940816","Jyhad"
"vtes","19950915","Vampire: The Eternal Struggle"
"ds","19951215","Dark Sovereigns"
"AH","19960529","Ancient Hearts"
"Sabbat","19961028","Sabbat"
"SW","20001031","Sabbat War"
"FN","20010611","Final Nights"
"FN:A","20010611","Final Nights: Assamite"
"FN:FS","20010611","Final Nights: Followers of Set"
"FN:G","20010611","Final Nights: Giovanni"
"FN:R","20010611","Final Nights: Ravnos"
"BL","20011203","Bloodlines"
"CE","20020819","Camarilla Edition"
"demo:i","20020820","Demostration Decks: Iliana"
"demo:g","20020820","Demostration Decks: Gemini"
"demo:cj","20020820","Demostration Decks: Creamy Jade"
"Anarchs","20030519","Anarchs"
"BH","20031117","Black Hand"
"Gehenna","20040517","Gehenna"
"10th","20041213","Tenth Anniversary"
"KMW","20050221","Kindred Most Wanted"
"LoB","20051114","Legacies of Blood"
"NoR","20060410","Nights of Reckoning"
"Third","20060904","Third Edition"
"pk:b","20060904","Player's kit: Brujah antitribu"
"pk:t","20060904","Player's kit: Tremere antitribu"
"pk:m","20060904","Player's kit: Malkavian antitribu"
"pk:tz","20060904","Player's kit: Tzimisce  antitribu"
"SoC","20070319","Sword of Caine"
"LotN","20070926","Lords of the Night"
"BSC","20080414","Blood Shadowed Court"
"TR","20080528","Twilight Rebellion"
"KoT","20081119","Keepers of Tradition"
"EK","20090527","Ebony Kingdom"
"HttB","20100203","Heirs to the Blood"
"DM","20131005","Danse Macabre"
"TU","20141004","The Unaligned"
"sr2015","20150221","Storyline Rewards 2015"
"AU","20160117","Anarch Unbound"
"antho","20170511","Anthology"
"LK","20180609","Lost Kindred"
"pod:kot1","20180505","Keepers of Tradition Reprint Bundle 1"
"pod:kot2","20180505","Keepers of Tradition Reprint Bundle 2"
"pod:httb1","20180714","Heirs to the Blood Reprint Bundle 1"
"pod:httb2","20180714","Heirs to the Blood Reprint Bundle 2"
"antho1","20190101","Anthology I"
"pod:dof","20190216","Den of Fiends"
"pod:lb","20190216","Libertine Ball"
"pod:pwn","20190216","Pact with Nephandi"
"pod:pos","20190216","Parliment of Shadows"
"25th","20190816","25th Anniversary"
"FB:m","20191001","First Blood: Malkavian"
"FB:n","20191001","First Blood: Nosferatu"
"FB:to","20191001","First Blood: Toreador"
"FB:tr","20191001","First Blood: Tremere"
"FB:v","20191001","First Blood: Ventrue"
"promo", "19960101", "Promo Cards"
